[2022-11-02 21:44:14,965] matplotlib.pyplot - DEBUG - Loaded backend TkAgg version unknown.
[2022-11-02 21:44:15,173] shapely.geos - DEBUG - Found GEOS DLL: <CDLL 'C:\Users\ASUS\anaconda3\envs\dt_2_new\lib\site-packages\Shapely.libs\geos_c-84d02d5b10aa37e3ab60a885dc5b531b.dll', handle 7ffa695f0000 at 0x13b1e01e700>, using it.
[2022-11-02 21:44:16,419] werkzeug - WARNING -  * Debugger is active!
[2022-11-02 21:44:16,428] werkzeug - INFO -  * Debugger PIN: 565-558-316
[2022-11-02 21:44:16,935] werkzeug - INFO - 127.0.0.1 - - [02/Nov/2022 21:44:16] "GET / HTTP/1.1" 200 -
[2022-11-02 21:44:17,603] werkzeug - INFO - 127.0.0.1 - - [02/Nov/2022 21:44:17] "[36mGET /static/4.png HTTP/1.1[0m" 304 -
[2022-11-02 21:44:17,603] werkzeug - INFO - 127.0.0.1 - - [02/Nov/2022 21:44:17] "[36mGET /static/5.jpg HTTP/1.1[0m" 304 -
[2022-11-02 21:44:17,604] werkzeug - INFO - 127.0.0.1 - - [02/Nov/2022 21:44:17] "[36mGET /static/3.jpg HTTP/1.1[0m" 304 -
[2022-11-02 21:44:17,606] werkzeug - INFO - 127.0.0.1 - - [02/Nov/2022 21:44:17] "[36mGET /static/image2.jpg HTTP/1.1[0m" 304 -
[2022-11-02 21:44:42,306] PIL.PngImagePlugin - DEBUG - STREAM b'IHDR' 16 13
[2022-11-02 21:44:42,306] PIL.PngImagePlugin - DEBUG - STREAM b'IDAT' 41 8192
